,number,value,datetime_start,datetime_complete,duration,params_inserts,params_memtable,params_point_queries,state
44,44,717087.0,2024-08-05 12:53:28.402369,2024-08-05 12:53:28.402369,0 days 00:00:00,1.0,hash-skiplist,0.0,COMPLETE
45,45,766925.0,2024-08-05 12:53:28.402417,2024-08-05 12:53:28.402417,0 days 00:00:00,1.0,hash-skiplist,0.0,COMPLETE
46,46,768722.0,2024-08-05 12:53:28.402462,2024-08-05 12:53:28.402462,0 days 00:00:00,1.0,hash-skiplist,0.0,COMPLETE
47,47,760387.0,2024-08-05 12:53:28.402509,2024-08-05 12:53:28.402510,0 days 00:00:00.000001,1.0,hash-skiplist,0.0,COMPLETE
48,48,765114.0,2024-08-05 12:53:28.402563,2024-08-05 12:53:28.402563,0 days 00:00:00,1.0,hash-skiplist,0.0,COMPLETE
49,49,767824.0,2024-08-05 12:53:28.402614,2024-08-05 12:53:28.402614,0 days 00:00:00,1.0,hash-skiplist,0.0,COMPLETE
50,50,723851.0,2024-08-05 12:53:28.402660,2024-08-05 12:53:28.402660,0 days 00:00:00,1.0,hash-skiplist,0.0,COMPLETE
51,51,700174.0,2024-08-05 12:53:28.402707,2024-08-05 12:53:28.402707,0 days 00:00:00,1.0,hash-skiplist,0.0,COMPLETE
52,52,1531903.0,2024-08-05 12:53:28.402752,2024-08-05 12:53:58.404145,0 days 00:00:30.001393,0.5,hash-linklist,0.5,COMPLETE
53,53,1677828.0,2024-08-05 12:53:58.404245,2024-08-05 12:54:28.405625,0 days 00:00:30.001380,0.5,hash-linklist,0.5,COMPLETE
54,54,1634401.0,2024-08-05 12:54:28.405729,2024-08-05 12:54:58.407099,0 days 00:00:30.001370,0.5,hash-linklist,0.5,COMPLETE
55,55,1704999.0,2024-08-05 12:54:58.407198,2024-08-05 12:55:28.409687,0 days 00:00:30.002489,0.5,hash-linklist,0.5,COMPLETE
56,56,1618826.0,2024-08-05 12:55:28.409809,2024-08-05 12:55:58.411335,0 days 00:00:30.001526,0.5,hash-linklist,0.5,COMPLETE
57,57,1294181.0,2024-08-05 12:55:58.411434,2024-08-05 12:56:28.412830,0 days 00:00:30.001396,0.5,hash-linklist,0.5,COMPLETE
58,58,730616.0,2024-08-05 12:56:28.412920,2024-08-05 12:56:58.414342,0 days 00:00:30.001422,1.0,hash-linklist,0.0,COMPLETE
59,59,740764.0,2024-08-05 12:56:58.414442,2024-08-05 12:57:28.416957,0 days 00:00:30.002515,1.0,hash-linklist,0.0,COMPLETE
60,60,744147.0,2024-08-05 12:57:28.417092,2024-08-05 12:57:58.419136,0 days 00:00:30.002044,1.0,hash-linklist,0.0,COMPLETE
61,61,740764.0,2024-08-05 12:57:58.419235,2024-08-05 12:58:28.421446,0 days 00:00:30.002211,1.0,vector,0.0,COMPLETE
62,62,737381.0,2024-08-05 12:58:28.421591,2024-08-05 12:58:58.424165,0 days 00:00:30.002574,1.0,hash-linklist,0.0,COMPLETE
63,63,737382.0,2024-08-05 12:58:58.424258,2024-08-05 12:59:28.426743,0 days 00:00:30.002485,1.0,vector,0.0,COMPLETE
64,64,872680.0,2024-08-05 12:59:28.426889,2024-08-05 12:59:58.429202,0 days 00:00:30.002313,1.0,vector,0.0,COMPLETE
65,65,730617.0,2024-08-05 12:59:58.429328,2024-08-05 13:00:28.431132,0 days 00:00:30.001804,1.0,hash-linklist,0.0,COMPLETE
66,66,750911.0,2024-08-05 13:00:28.431254,2024-08-05 13:00:58.432913,0 days 00:00:30.001659,1.0,vector,0.0,COMPLETE
